walk,l1,l2,x0
97,116,116.000000,116
98,92,92.000000,92
99,84,84.000000,84
100,128,128.000000,-128
101,60,60.000000,-60
102,194,194.000000,194
103,38,38.000000,38
104,90,90.000000,90
105,102,102.000000,-102
106,20,20.000000,-20
107,108,108.000000,-108
108,38,38.000000,-38
109,84,84.000000,84
110,168,168.000000,-168
111,2,2.000000,-2
112,40,40.000000,-40
113,74,74.000000,74
114,184,184.000000,184
115,98,98.000000,98
116,326,326.000000,-326
117,132,132.000000,-132
118,98,98.000000,98
119,54,54.000000,-54
120,18,18.000000,-18
121,100,100.000000,-100
122,22,22.000000,22
123,18,18.000000,18
124,82,82.000000,82
125,92,92.000000,92
126,174,174.000000,174
127,32,32.000000,32
128,124,124.000000,124
129,6,6.000000,6
130,2,2.000000,-2
131,64,64.000000,-64
132,68,68.000000,68
133,108,108.000000,-108
134,196,196.000000,-196
135,8,8.000000,-8
136,116,116.000000,116
137,124,124.000000,-124
138,34,34.000000,34
139,24,24.000000,-24
140,102,102.000000,-102
141,132,132.000000,-132
142,18,18.000000,18
143,44,44.000000,-44
144,86,86.000000,-86
145,130,130.000000,-130
146,94,94.000000,94
147,84,84.000000,84
148,74,74.000000,74
149,56,56.000000,-56
150,142,142.000000,-142
151,94,94.000000,94
152,48,48.000000,-48
153,116,116.000000,-116
154,112,112.000000,112
155,40,40.000000,40
156,68,68.000000,68
157,78,78.000000,-78
158,6,6.000000,6
159,118,118.000000,-118
160,18,18.000000,18
161,162,162.000000,162
162,4,4.000000,-4
163,84,84.000000,-84
164,140,140.000000,-140
165,2,2.000000,-2
166,74,74.000000,74
167,54,54.000000,-54
168,170,170.000000,170
169,150,150.000000,150
170,6,6.000000,6
171,168,168.000000,-168
172,28,28.000000,-28
173,120,120.000000,-120
174,96,96.000000,-96
175,78,78.000000,78
176,142,142.000000,-142
177,146,146.000000,146
178,74,74.000000,74
179,30,30.000000,30
180,54,54.000000,-54
181,86,86.000000,86
182,56,56.000000,-56
183,98,98.000000,-98
184,6,6.000000,6
185,78,78.000000,78
186,170,170.000000,-170
187,46,46.000000,46
188,84,84.000000,-84
189,56,56.000000,-56
190,114,114.000000,-114
191,38,38.000000,-38
192,108,108.000000,108
193,56,56.000000,-56
194,22,22.000000,22
195,22,22.000000,22
196,206,206.000000,-206
197,194,194.000000,-194
198,18,18.000000,18
199,86,86.000000,-86
200,134,134.000000,134
201,26,26.000000,-26
202,26,26.000000,-26
203,58,58.000000,58
204,126,126.000000,-126
205,10,10.000000,-10
206,10,10.000000,-10
207,76,76.000000,76
208,10,10.000000,-10
209,68,68.000000,-68
210,22,22.000000,-22
